algorithm_name,env_n,size,best_solution,H,states,time
GA,20,8,"[5, 1, 2, 5, 7, 4, 0, 0]",3,100,0.0037670135498046875
GA,21,8,"[0, 6, 1, 3, 7, 3, 7, 2]",3,100,0.003603219985961914
GA,22,8,"[3, 6, 0, 5, 5, 1, 4, 7]",2,100,0.003632068634033203
GA,23,8,"[5, 3, 1, 7, 1, 6, 0, 2]",2,100,0.0036096572875976562
GA,24,8,"[4, 0, 3, 4, 6, 1, 3, 7]",3,100,0.0036611557006835938
GA,25,8,"[0, 7, 4, 2, 0, 6, 4, 2]",3,100,0.0035347938537597656
GA,26,8,"[3, 0, 7, 3, 6, 6, 2, 5]",2,100,0.0037217140197753906
GA,27,8,"[1, 6, 6, 0, 7, 1, 4, 7]",3,100,0.0040740966796875
GA,28,8,"[4, 0, 5, 5, 6, 1, 7, 2]",2,100,0.003949642181396484
GA,29,8,"[2, 7, 1, 4, 0, 0, 6, 4]",2,100,0.003994464874267578
GA,0,10,"[8, 0, 1, 6, 2, 9, 7, 5, 3, 6]",3,100,0.005928516387939453
GA,1,10,"[6, 4, 0, 7, 3, 6, 6, 2, 5, 8]",4,100,0.0058498382568359375
GA,2,10,"[8, 5, 0, 5, 9, 2, 7, 4, 4, 8]",6,100,0.005846738815307617
GA,3,10,"[3, 5, 0, 4, 9, 2, 5, 8, 8, 3]",5,100,0.00568079948425293
GA,4,10,"[8, 9, 4, 4, 7, 0, 0, 5, 1, 6]",4,100,0.005757331848144531
GA,5,10,"[9, 4, 6, 8, 0, 7, 3, 0, 2, 1]",3,100,0.006011009216308594
GA,6,10,"[5, 0, 4, 7, 4, 6, 8, 3, 1, 9]",4,100,0.00608372688293457
GA,7,10,"[0, 3, 5, 9, 2, 9, 7, 1, 1, 8]",2,100,0.0058629512786865234
GA,8,10,"[0, 7, 3, 6, 9, 1, 8, 5, 1, 8]",3,100,0.005631208419799805
GA,9,10,"[6, 3, 5, 8, 9, 0, 6, 7, 2, 0]",4,100,0.005727291107177734
GA,10,10,"[2, 0, 8, 7, 5, 1, 3, 5, 9, 4]",4,100,0.005728244781494141
GA,11,10,"[9, 2, 8, 3, 7, 7, 4, 6, 1, 5]",3,100,0.005540370941162109
GA,12,10,"[0, 8, 8, 5, 1, 6, 0, 5, 7, 4]",3,100,0.005350589752197266
GA,13,10,"[8, 6, 0, 6, 1, 5, 9, 4, 7, 3]",4,100,0.005454540252685547
GA,14,10,"[4, 4, 9, 0, 5, 2, 1, 7, 8, 3]",4,100,0.005833625793457031
GA,15,10,"[3, 9, 4, 2, 5, 6, 8, 0, 4, 1]",4,100,0.005857229232788086
GA,16,10,"[8, 3, 0, 4, 9, 1, 4, 7, 7, 2]",3,100,0.005858898162841797
